transaction_id,date,year,quarter,month,month_name,region,category,channel,customer_id,unit_price,quantity,revenue,cost,profit,margin
TXN-11714,2021-01-02,2021,Q1,1,Jan,East,Clothing,Partner,CUST-1898,4507.73,18,81139.14,38418.33,42720.81,52.65
TXN-12523,2021-01-02,2021,Q1,1,Jan,Central,Clothing,In-Store,CUST-1222,887.07,10,8870.7,5492.92,3377.78,38.08
TXN-07652,2021-01-02,2021,Q1,1,Jan,West,Electronics,Online,CUST-2928,36540.04,4,146160.16,93306.4,52853.76,36.16
TXN-06314,2021-01-02,2021,Q1,1,Jan,South,Software,Online,CUST-3880,18482.04,12,221784.48,135540.32,86244.16,38.89
TXN-07138,2021-01-02,2021,Q1,1,Jan,East,Software,Partner,CUST-1377,20217.55,18,363915.9,193735.09,170180.81,46.76
TXN-12906,2021-01-02,2021,Q1,1,Jan,West,Clothing,In-Store,CUST-3433,4912.72,7,34389.04,18404.16,15984.88,46.48
TXN-13006,2021-01-02,2021,Q1,1,Jan,South,Software,Partner,CUST-4875,14730.74,17,250422.58,154972.13,95450.45,38.12
TXN-08061,2021-01-02,2021,Q1,1,Jan,North,Software,Direct,CUST-1534,21037.09,2,42074.18,28669.56,13404.62,31.86
TXN-00195,2021-01-02,2021,Q1,1,Jan,South,Food,In-Store,CUST-4174,1335.55,1,1335.55,876.29,459.26,34.39
TXN-10119,2021-01-02,2021,Q1,1,Jan,North,Software,Direct,CUST-2638,9679.14,13,125828.82,67112.34,58716.48,46.66
TXN-12162,2021-01-02,2021,Q1,1,Jan,North,Clothing,In-Store,CUST-1228,2647.82,5,13239.1,8532.53,4706.57,35.55
TXN-09072,2021-01-02,2021,Q1,1,Jan,South,Software,Partner,CUST-3386,2117.31,16,33876.96,17469.36,16407.6,48.43
TXN-05080,2021-01-02,2021,Q1,1,Jan,East,Electronics,In-Store,CUST-1510,121619.88,11,1337818.68,626969.05,710849.63,53.13
TXN-09350,2021-01-03,2021,Q1,1,Jan,South,Electronics,Online,CUST-4411,72518.71,3,217556.13,134504.94,83051.19,38.17
TXN-08453,2021-01-03,2021,Q1,1,Jan,Central,Software,Direct,CUST-4203,12887.43,15,193311.45,127657.54,65653.91,33.96
TXN-00421,2021-01-03,2021,Q1,1,Jan,West,Electronics,Online,CUST-4792,75148.12,12,901777.44,608175.54,293601.9,32.56
TXN-11984,2021-01-03,2021,Q1,1,Jan,East,Software,In-Store,CUST-4052,15991.4,18,287845.2,175917.15,111928.05,38.88
TXN-14662,2021-01-03,2021,Q1,1,Jan,Central,Software,In-Store,CUST-2101,21647.19,11,238119.09,122977.59,115141.5,48.35
TXN-12318,2021-01-03,2021,Q1,1,Jan,West,Software,Direct,CUST-3535,15390.68,18,277032.24,183094.17,93938.07,33.91
TXN-06799,2021-01-03,2021,Q1,1,Jan,Central,Clothing,In-Store,CUST-3266,4327.53,19,82223.07,38752.52,43470.55,52.87
TXN-14692,2021-01-03,2021,Q1,1,Jan,East,Clothing,Partner,CUST-2326,2650.45,5,13252.25,9234.71,4017.54,30.32
TXN-08780,2021-01-03,2021,Q1,1,Jan,West,Food,Direct,CUST-1124,490.22,12,5882.64,3538.18,2344.46,39.85
TXN-11564,2021-01-04,2021,Q1,1,Jan,North,Electronics,Online,CUST-1917,51950.34,16,831205.44,376384.47,454820.97,54.72
TXN-06634,2021-01-04,2021,Q1,1,Jan,East,Clothing,Direct,CUST-2526,4326.18,2,8652.36,5337.98,3314.38,38.31
TXN-11490,2021-01-04,2021,Q1,1,Jan,West,Software,Partner,CUST-2241,24669.36,11,271362.96,125190.1,146172.86,53.87
TXN-04866,2021-01-04,2021,Q1,1,Jan,West,Clothing,Partner,CUST-2821,3412.39,16,54598.24,26146.81,28451.43,52.11
TXN-01817,2021-01-04,2021,Q1,1,Jan,Central,Electronics,In-Store,CUST-4311,107448.5,15,1611727.5,1112097.08,499630.42,31.0
TXN-01148,2021-01-04,2021,Q1,1,Jan,North,Food,Partner,CUST-1380,1234.85,14,17287.9,10648.45,6639.45,38.41
TXN-02458,2021-01-04,2021,Q1,1,Jan,West,Furniture,Partner,CUST-3045,59651.73,6,357910.38,187138.48,170771.9,47.71
TXN-12957,2021-01-04,2021,Q1,1,Jan,South,Software,In-Store,CUST-3774,16045.44,3,48136.32,24540.1,23596.22,49.02
TXN-07078,2021-01-04,2021,Q1,1,Jan,East,Electronics,Online,CUST-1116,46382.82,4,185531.28,98869.62,86661.66,46.71
TXN-05427,2021-01-04,2021,Q1,1,Jan,East,Clothing,Partner,CUST-2757,2333.76,3,7001.28,3761.17,3240.11,46.28
TXN-02727,2021-01-04,2021,Q1,1,Jan,East,Furniture,Partner,CUST-4061,169274.01,10,1692740.1,781854.48,910885.62,53.81
TXN-11550,2021-01-04,2021,Q1,1,Jan,North,Electronics,In-Store,CUST-2757,134237.85,11,1476616.35,809606.46,667009.89,45.17
TXN-09064,2021-01-04,2021,Q1,1,Jan,West,Software,Online,CUST-3503,9053.43,8,72427.44,37110.82,35316.62,48.76
TXN-07169,2021-01-04,2021,Q1,1,Jan,East,Electronics,Partner,CUST-4248,107409.23,19,2040775.37,920735.51,1120039.86,54.88
TXN-14735,2021-01-04,2021,Q1,1,Jan,East,Software,In-Store,CUST-3690,6834.47,18,123020.46,79221.27,43799.19,35.6
TXN-06792,2021-01-05,2021,Q1,1,Jan,West,Food,Direct,CUST-1840,258.17,19,4905.23,2410.24,2494.99,50.86
TXN-09536,2021-01-05,2021,Q1,1,Jan,North,Electronics,Partner,CUST-4692,114745.53,9,1032709.77,694349.33,338360.44,32.76
TXN-09127,2021-01-05,2021,Q1,1,Jan,South,Software,Direct,CUST-2118,24043.52,18,432783.36,229931.26,202852.1,46.87
TXN-12165,2021-01-05,2021,Q1,1,Jan,South,Furniture,In-Store,CUST-3403,37780.72,7,264465.04,123358.42,141106.62,53.36
TXN-09231,2021-01-05,2021,Q1,1,Jan,East,Furniture,Online,CUST-2541,48002.18,11,528023.98,332599.21,195424.77,37.01
TXN-06667,2021-01-05,2021,Q1,1,Jan,West,Clothing,Online,CUST-4298,4510.93,15,67663.95,42925.05,24738.9,36.56
TXN-02460,2021-01-05,2021,Q1,1,Jan,Central,Furniture,Online,CUST-3750,196476.1,15,2947141.5,1821751.35,1125390.15,38.19
TXN-09055,2021-01-05,2021,Q1,1,Jan,West,Electronics,Online,CUST-1878,119328.81,10,1193288.1,733770.18,459517.92,38.51
TXN-10482,2021-01-05,2021,Q1,1,Jan,West,Electronics,In-Store,CUST-1311,108044.08,17,1836749.36,883170.69,953578.67,51.92
TXN-06728,2021-01-06,2021,Q1,1,Jan,Central,Food,Partner,CUST-2254,1417.48,9,12757.32,8791.73,3965.59,31.08
TXN-06453,2021-01-06,2021,Q1,1,Jan,South,Software,Direct,CUST-4722,5066.53,3,15199.59,8280.9,6918.69,45.52
TXN-05787,2021-01-06,2021,Q1,1,Jan,East,Clothing,In-Store,CUST-3801,2112.37,9,19011.33,11781.12,7230.21,38.03
TXN-10316,2021-01-06,2021,Q1,1,Jan,East,Furniture,In-Store,CUST-1945,7428.3,12,89139.6,48099.11,41040.49,46.04
TXN-04096,2021-01-06,2021,Q1,1,Jan,West,Electronics,In-Store,CUST-1983,63216.01,3,189648.03,123507.42,66140.61,34.88
TXN-12638,2021-01-06,2021,Q1,1,Jan,West,Furniture,In-Store,CUST-4344,168548.46,3,505645.38,297078.78,208566.6,41.25
TXN-11781,2021-01-06,2021,Q1,1,Jan,West,Software,Online,CUST-1405,7348.82,16,117581.12,64067.3,53513.82,45.51
TXN-03179,2021-01-06,2021,Q1,1,Jan,West,Electronics,In-Store,CUST-4171,77586.29,4,310345.16,140595.13,169750.03,54.7
TXN-09748,2021-01-06,2021,Q1,1,Jan,South,Food,Partner,CUST-4838,531.89,17,9042.13,4184.26,4857.87,53.72
TXN-14749,2021-01-06,2021,Q1,1,Jan,South,Software,Online,CUST-3332,6761.44,4,27045.76,15350.2,11695.56,43.24
TXN-06051,2021-01-06,2021,Q1,1,Jan,Central,Software,Online,CUST-2666,5311.67,18,95610.06,45590.44,50019.62,52.32
TXN-08056,2021-01-06,2021,Q1,1,Jan,East,Food,Online,CUST-1695,608.43,16,9734.88,5335.27,4399.61,45.19
TXN-09093,2021-01-06,2021,Q1,1,Jan,West,Clothing,Partner,CUST-3764,1173.63,2,2347.26,1427.58,919.68,39.18
TXN-11274,2021-01-06,2021,Q1,1,Jan,Central,Electronics,Online,CUST-4346,17789.14,10,177891.4,118135.49,59755.91,33.59
TXN-13421,2021-01-06,2021,Q1,1,Jan,East,Software,Online,CUST-1789,16497.68,15,247465.2,148443.91,99021.29,40.01
TXN-03974,2021-01-06,2021,Q1,1,Jan,East,Electronics,In-Store,CUST-3295,149649.37,8,1197194.96,801777.88,395417.08,33.03
TXN-10189,2021-01-06,2021,Q1,1,Jan,North,Food,Direct,CUST-1671,1125.5,19,21384.5,12851.25,8533.25,39.9
TXN-06578,2021-01-07,2021,Q1,1,Jan,East,Food,In-Store,CUST-1445,892.36,3,2677.08,1674.58,1002.5,37.45
TXN-13756,2021-01-07,2021,Q1,1,Jan,South,Food,Direct,CUST-1862,1096.23,19,20828.37,10655.42,10172.95,48.84
TXN-11731,2021-01-07,2021,Q1,1,Jan,West,Clothing,In-Store,CUST-4312,1684.1,6,10104.6,6593.0,3511.6,34.75
TXN-10315,2021-01-07,2021,Q1,1,Jan,West,Software,In-Store,CUST-1246,23661.93,1,23661.93,15840.44,7821.49,33.06
TXN-09913,2021-01-07,2021,Q1,1,Jan,East,Software,Partner,CUST-4424,4226.8,3,12680.4,8512.3,4168.1,32.87
TXN-07469,2021-01-07,2021,Q1,1,Jan,Central,Food,Online,CUST-2223,1144.51,7,8011.57,4084.08,3927.49,49.02
TXN-03250,2021-01-07,2021,Q1,1,Jan,North,Software,In-Store,CUST-3134,5509.08,3,16527.24,10071.92,6455.32,39.06
TXN-12310,2021-01-07,2021,Q1,1,Jan,South,Electronics,In-Store,CUST-1357,52165.4,11,573819.4,289080.14,284739.26,49.62
TXN-12575,2021-01-07,2021,Q1,1,Jan,North,Food,In-Store,CUST-2159,954.6,13,12409.8,6697.56,5712.24,46.03
TXN-12302,2021-01-07,2021,Q1,1,Jan,West,Clothing,Online,CUST-1969,2118.3,3,6354.9,3747.43,2607.47,41.03
TXN-10920,2021-01-07,2021,Q1,1,Jan,South,Software,Direct,CUST-4632,20504.81,1,20504.81,14343.29,6161.52,30.05
TXN-08249,2021-01-07,2021,Q1,1,Jan,East,Furniture,In-Store,CUST-3767,167084.61,5,835423.05,430370.39,405052.66,48.48
TXN-00867,2021-01-07,2021,Q1,1,Jan,North,Software,Partner,CUST-3502,6523.35,16,104373.6,64100.07,40273.53,38.59
TXN-03121,2021-01-07,2021,Q1,1,Jan,West,Electronics,Direct,CUST-4128,90863.81,7,636046.67,315834.09,320212.58,50.34
TXN-01521,2021-01-08,2021,Q1,1,Jan,West,Food,Partner,CUST-3453,116.89,16,1870.24,1268.13,602.11,32.19
TXN-00580,2021-01-08,2021,Q1,1,Jan,North,Electronics,Direct,CUST-1589,21991.09,13,285884.17,134700.64,151183.53,52.88
TXN-13015,2021-01-08,2021,Q1,1,Jan,Central,Food,Partner,CUST-1943,592.77,8,4742.16,2334.0,2408.16,50.78
TXN-08441,2021-01-08,2021,Q1,1,Jan,North,Software,In-Store,CUST-3680,22674.15,11,249415.65,122459.55,126956.1,50.9
TXN-03361,2021-01-08,2021,Q1,1,Jan,South,Clothing,Online,CUST-4329,4111.45,2,8222.9,5587.95,2634.95,32.04
TXN-00093,2021-01-08,2021,Q1,1,Jan,South,Furniture,Direct,CUST-3125,40981.6,15,614724.0,359089.59,255634.41,41.59
TXN-05324,2021-01-08,2021,Q1,1,Jan,East,Clothing,Direct,CUST-1363,3359.07,4,13436.28,9372.96,4063.32,30.24
TXN-04716,2021-01-08,2021,Q1,1,Jan,North,Food,In-Store,CUST-2103,1462.34,3,4387.02,2631.3,1755.72,40.02
TXN-04697,2021-01-08,2021,Q1,1,Jan,North,Clothing,In-Store,CUST-2298,4157.09,13,54042.17,28841.56,25200.61,46.63
TXN-03525,2021-01-08,2021,Q1,1,Jan,Central,Electronics,Partner,CUST-4592,31209.44,4,124837.76,60313.62,64524.14,51.69
TXN-02998,2021-01-08,2021,Q1,1,Jan,North,Electronics,Partner,CUST-2312,30218.62,10,302186.2,189556.64,112629.56,37.27
TXN-05133,2021-01-08,2021,Q1,1,Jan,West,Electronics,Partner,CUST-3486,71246.44,17,1211189.48,796012.45,415177.03,34.28
TXN-09379,2021-01-08,2021,Q1,1,Jan,Central,Furniture,Partner,CUST-3780,71830.55,14,1005627.7,526098.96,479528.74,47.68
TXN-09531,2021-01-09,2021,Q1,1,Jan,Central,Clothing,Direct,CUST-1263,518.98,8,4151.84,2686.68,1465.16,35.29
TXN-07977,2021-01-09,2021,Q1,1,Jan,Central,Electronics,Direct,CUST-4778,86369.88,4,345479.52,191733.99,153745.53,44.5
TXN-06341,2021-01-09,2021,Q1,1,Jan,East,Clothing,Direct,CUST-3486,1711.88,3,5135.64,3426.7,1708.94,33.28
TXN-01597,2021-01-09,2021,Q1,1,Jan,East,Food,In-Store,CUST-4267,1135.71,8,9085.68,5449.41,3636.27,40.02
TXN-09034,2021-01-09,2021,Q1,1,Jan,West,Clothing,Direct,CUST-4524,912.83,17,15518.11,10133.31,5384.8,34.7
TXN-04702,2021-01-09,2021,Q1,1,Jan,South,Electronics,Online,CUST-1551,60105.46,8,480843.68,325017.18,155826.5,32.41
TXN-10601,2021-01-09,2021,Q1,1,Jan,Central,Food,Partner,CUST-1369,1125.35,9,10128.15,4669.82,5458.33,53.89
TXN-00877,2021-01-09,2021,Q1,1,Jan,South,Clothing,Online,CUST-3382,516.66,18,9299.88,5861.38,3438.5,36.97
TXN-08558,2021-01-09,2021,Q1,1,Jan,North,Software,Online,CUST-3607,24831.71,4,99326.84,54697.96,44628.88,44.93
TXN-01152,2021-01-09,2021,Q1,1,Jan,South,Electronics,Online,CUST-2146,87164.86,13,1133143.18,628171.6,504971.58,44.56
TXN-02948,2021-01-09,2021,Q1,1,Jan,East,Electronics,Online,CUST-2979,106984.35,12,1283812.2,747828.51,535983.69,41.75
TXN-10843,2021-01-09,2021,Q1,1,Jan,Central,Clothing,Partner,CUST-3794,1766.56,12,21198.72,13866.02,7332.7,34.59
TXN-01620,2021-01-09,2021,Q1,1,Jan,Central,Clothing,Online,CUST-4667,2578.0,9,23202.0,11688.14,11513.86,49.62
TXN-13073,2021-01-10,2021,Q1,1,Jan,East,Food,In-Store,CUST-3438,1240.86,16,19853.76,9468.98,10384.78,52.31
TXN-07287,2021-01-10,2021,Q1,1,Jan,Central,Electronics,Direct,CUST-3150,59555.93,8,476447.44,276131.84,200315.6,42.04
TXN-11233,2021-01-10,2021,Q1,1,Jan,Central,Software,Partner,CUST-2340,10798.0,17,183566.0,103540.31,80025.69,43.6
TXN-14826,2021-01-10,2021,Q1,1,Jan,North,Electronics,Direct,CUST-3976,106725.07,12,1280700.84,595125.93,685574.91,53.53
TXN-01691,2021-01-10,2021,Q1,1,Jan,Central,Furniture,Partner,CUST-4551,28702.4,17,487940.8,244513.89,243426.91,49.89
TXN-12254,2021-01-10,2021,Q1,1,Jan,East,Electronics,Partner,CUST-3599,44123.07,13,573599.91,278336.0,295263.91,51.48
TXN-09092,2021-01-10,2021,Q1,1,Jan,South,Clothing,Direct,CUST-1625,1115.33,5,5576.65,2745.46,2831.19,50.77
TXN-10946,2021-01-10,2021,Q1,1,Jan,East,Electronics,Direct,CUST-4127,18916.21,5,94581.05,59617.44,34963.61,36.97
TXN-05151,2021-01-10,2021,Q1,1,Jan,South,Furniture,In-Store,CUST-2581,185020.82,7,1295145.74,676413.58,618732.16,47.77
TXN-13262,2021-01-10,2021,Q1,1,Jan,Central,Electronics,Partner,CUST-4213,58346.04,18,1050228.72,565068.92,485159.8,46.2
TXN-10414,2021-01-10,2021,Q1,1,Jan,West,Electronics,Direct,CUST-1236,82741.36,16,1323861.76,741372.54,582489.22,44.0
TXN-05855,2021-01-10,2021,Q1,1,Jan,East,Food,In-Store,CUST-3722,710.33,11,7813.63,4501.89,3311.74,42.38
TXN-02630,2021-01-10,2021,Q1,1,Jan,East,Furniture,Online,CUST-4084,145531.89,5,727659.45,409359.28,318300.17,43.74
TXN-01061,2021-01-10,2021,Q1,1,Jan,East,Clothing,Online,CUST-1375,3296.78,11,36264.58,23855.26,12409.32,34.22
TXN-07829,2021-01-10,2021,Q1,1,Jan,West,Furniture,Direct,CUST-3492,167836.14,11,1846197.54,1030693.68,815503.86,44.17
TXN-14681,2021-01-10,2021,Q1,1,Jan,South,Electronics,Online,CUST-1532,45729.37,6,274376.22,176912.27,97463.95,35.52
TXN-12689,2021-01-10,2021,Q1,1,Jan,East,Software,Direct,CUST-1442,5323.79,2,10647.58,5408.79,5238.79,49.2
TXN-08590,2021-01-10,2021,Q1,1,Jan,South,Food,Partner,CUST-2830,1405.23,14,19673.22,12740.46,6932.76,35.24
TXN-01475,2021-01-10,2021,Q1,1,Jan,South,Food,Online,CUST-3225,297.27,9,2675.43,1637.14,1038.29,38.81
TXN-05107,2021-01-10,2021,Q1,1,Jan,South,Food,In-Store,CUST-3334,1166.21,19,22157.99,11297.29,10860.7,49.01
TXN-12311,2021-01-10,2021,Q1,1,Jan,South,Clothing,In-Store,CUST-1601,2051.99,10,20519.9,14225.93,6293.97,30.67
TXN-13324,2021-01-10,2021,Q1,1,Jan,South,Furniture,Partner,CUST-3855,173144.42,10,1731444.2,1012758.9,718685.3,41.51
TXN-14918,2021-01-11,2021,Q1,1,Jan,Central,Clothing,Online,CUST-3277,1455.97,6,8735.82,4456.0,4279.82,48.99
TXN-08958,2021-01-11,2021,Q1,1,Jan,West,Furniture,Partner,CUST-2850,130849.36,13,1701041.68,1068025.35,633016.33,37.21
TXN-05838,2021-01-11,2021,Q1,1,Jan,West,Software,Partner,CUST-2474,3586.86,6,21521.16,11520.62,10000.54,46.47
TXN-13625,2021-01-11,2021,Q1,1,Jan,South,Electronics,In-Store,CUST-2152,93030.22,8,744241.76,406772.38,337469.38,45.34
TXN-08658,2021-01-11,2021,Q1,1,Jan,North,Software,Partner,CUST-3219,6063.57,10,60635.7,37685.64,22950.06,37.85
TXN-10153,2021-01-11,2021,Q1,1,Jan,South,Clothing,Online,CUST-4068,986.99,16,15791.84,7170.6,8621.24,54.59
TXN-04318,2021-01-11,2021,Q1,1,Jan,North,Software,Partner,CUST-2068,4375.39,4,17501.56,9709.33,7792.23,44.52
TXN-08084,2021-01-11,2021,Q1,1,Jan,North,Clothing,In-Store,CUST-2607,4489.4,13,58362.2,32060.92,26301.28,45.07
TXN-13520,2021-01-11,2021,Q1,1,Jan,South,Electronics,In-Store,CUST-1641,37128.36,14,519797.04,256924.1,262872.94,50.57
TXN-06945,2021-01-11,2021,Q1,1,Jan,West,Electronics,Direct,CUST-1644,78224.1,5,391120.5,178692.46,212428.04,54.31
TXN-00538,2021-01-11,2021,Q1,1,Jan,South,Food,Direct,CUST-4199,1225.33,5,6126.65,3489.89,2636.76,43.04
TXN-09721,2021-01-11,2021,Q1,1,Jan,South,Clothing,In-Store,CUST-1061,3013.73,15,45205.95,26585.85,18620.1,41.19
TXN-03581,2021-01-12,2021,Q1,1,Jan,North,Food,Direct,CUST-4008,1412.69,3,4238.07,2175.54,2062.53,48.67
TXN-04136,2021-01-12,2021,Q1,1,Jan,West,Food,Partner,CUST-4985,293.22,11,3225.42,2139.13,1086.29,33.68
TXN-09872,2021-01-12,2021,Q1,1,Jan,West,Software,Partner,CUST-1983,6043.33,19,114823.27,65751.62,49071.65,42.74
TXN-14818,2021-01-12,2021,Q1,1,Jan,Central,Software,Online,CUST-2424,17463.18,5,87315.9,39896.48,47419.42,54.31
TXN-10442,2021-01-12,2021,Q1,1,Jan,North,Furniture,In-Store,CUST-4468,8020.13,16,128322.08,58620.94,69701.14,54.32
TXN-13696,2021-01-12,2021,Q1,1,Jan,West,Software,Online,CUST-1565,8239.58,19,156552.02,70941.62,85610.4,54.68
TXN-00252,2021-01-12,2021,Q1,1,Jan,South,Software,In-Store,CUST-4533,4676.43,18,84175.74,51093.62,33082.12,39.3
TXN-13925,2021-01-12,2021,Q1,1,Jan,North,Electronics,Direct,CUST-2596,36209.61,13,470724.93,283952.29,186772.64,39.68
TXN-00620,2021-01-12,2021,Q1,1,Jan,North,Clothing,In-Store,CUST-2711,2594.02,9,23346.18,14140.39,9205.79,39.43
TXN-01444,2021-01-12,2021,Q1,1,Jan,South,Food,Online,CUST-1613,1430.1,15,21451.5,10127.91,11323.59,52.79
TXN-03804,2021-01-12,2021,Q1,1,Jan,West,Clothing,Direct,CUST-4079,3763.72,7,26346.04,12883.91,13462.13,51.1
TXN-11802,2021-01-12,2021,Q1,1,Jan,West,Software,Direct,CUST-4736,17752.96,10,177529.6,112044.6,65485.0,36.89
TXN-07320,2021-01-12,2021,Q1,1,Jan,South,Electronics,In-Store,CUST-1172,123441.13,8,987529.04,559205.57,428323.47,43.37
TXN-06925,2021-01-12,2021,Q1,1,Jan,South,Furniture,Direct,CUST-3980,62002.45,9,558022.05,258302.82,299719.23,53.71
TXN-06237,2021-01-12,2021,Q1,1,Jan,South,Clothing,Partner,CUST-2780,4067.34,2,8134.68,5042.48,3092.2,38.01
TXN-12568,2021-01-13,2021,Q1,1,Jan,North,Electronics,Direct,CUST-2507,141776.53,17,2410201.01,1103702.82,1306498.19,54.21
TXN-05799,2021-01-13,2021,Q1,1,Jan,South,Furniture,Direct,CUST-2574,35649.72,19,677344.68,414688.14,262656.54,38.78
TXN-07112,2021-01-13,2021,Q1,1,Jan,North,Food,Online,CUST-3919,767.2,8,6137.6,3591.7,2545.9,41.48
TXN-10853,2021-01-13,2021,Q1,1,Jan,West,Electronics,Partner,CUST-3882,69800.41,3,209401.23,143304.08,66097.15,31.56
TXN-13761,2021-01-13,2021,Q1,1,Jan,West,Electronics,In-Store,CUST-3393,103570.88,17,1760704.96,1139988.38,620716.58,35.25
TXN-08067,2021-01-13,2021,Q1,1,Jan,South,Clothing,In-Store,CUST-3872,813.04,16,13008.64,6069.29,6939.35,53.34
TXN-00710,2021-01-14,2021,Q1,1,Jan,North,Software,Direct,CUST-4165,7749.38,17,131739.46,74145.16,57594.3,43.72
TXN-04296,2021-01-14,2021,Q1,1,Jan,North,Clothing,Direct,CUST-2365,1530.31,19,29075.89,15428.79,13647.1,46.94
TXN-05217,2021-01-14,2021,Q1,1,Jan,North,Clothing,Partner,CUST-3157,960.44,7,6723.08,3133.91,3589.17,53.39
TXN-11920,2021-01-14,2021,Q1,1,Jan,South,Clothing,Online,CUST-3672,1426.76,19,27108.44,13694.94,13413.5,49.48
TXN-08939,2021-01-14,2021,Q1,1,Jan,West,Electronics,In-Store,CUST-1922,82601.41,11,908615.51,423173.9,485441.61,53.43
TXN-13477,2021-01-14,2021,Q1,1,Jan,Central,Food,In-Store,CUST-4515,924.28,9,8318.52,5324.39,2994.13,35.99
TXN-11015,2021-01-14,2021,Q1,1,Jan,East,Electronics,In-Store,CUST-2541,99726.35,16,1595621.6,1115629.27,479992.33,30.08
TXN-10896,2021-01-14,2021,Q1,1,Jan,East,Food,Direct,CUST-4513,1373.42,5,6867.1,4224.48,2642.62,38.48
TXN-11755,2021-01-14,2021,Q1,1,Jan,West,Electronics,Online,CUST-4605,131295.98,12,1575551.76,780124.56,795427.2,50.49
TXN-04722,2021-01-14,2021,Q1,1,Jan,East,Electronics,In-Store,CUST-1854,131669.0,5,658345.0,458485.62,199859.38,30.36
TXN-10699,2021-01-14,2021,Q1,1,Jan,Central,Furniture,In-Store,CUST-2406,60081.21,8,480649.68,221431.14,259218.54,53.93
TXN-06033,2021-01-14,2021,Q1,1,Jan,Central,Furniture,Online,CUST-3622,72922.47,16,1166759.52,655835.71,510923.81,43.79
TXN-13218,2021-01-14,2021,Q1,1,Jan,North,Electronics,Online,CUST-4948,124761.8,8,998094.4,623863.2,374231.2,37.49
TXN-04057,2021-01-14,2021,Q1,1,Jan,South,Furniture,Partner,CUST-2419,49091.82,2,98183.64,58367.7,39815.94,40.55
TXN-05592,2021-01-15,2021,Q1,1,Jan,Central,Electronics,Online,CUST-4101,79139.15,18,1424504.7,878820.75,545683.95,38.31
TXN-06253,2021-01-15,2021,Q1,1,Jan,West,Electronics,Partner,CUST-1822,105462.88,10,1054628.8,650121.98,404506.82,38.36
TXN-14160,2021-01-15,2021,Q1,1,Jan,West,Electronics,Partner,CUST-2854,128362.61,11,1411988.71,747185.13,664803.58,47.08
TXN-09642,2021-01-15,2021,Q1,1,Jan,West,Food,Online,CUST-1001,705.98,18,12707.64,6288.54,6419.1,50.51
TXN-03642,2021-01-15,2021,Q1,1,Jan,East,Software,In-Store,CUST-2059,3503.52,4,14014.08,9768.68,4245.4,30.29
TXN-02660,2021-01-15,2021,Q1,1,Jan,East,Clothing,Direct,CUST-1396,2833.91,13,36840.83,17783.06,19057.77,51.73
TXN-08011,2021-01-15,2021,Q1,1,Jan,South,Furniture,Direct,CUST-1761,177881.4,14,2490339.6,1269229.6,1221110.0,49.03
TXN-05435,2021-01-15,2021,Q1,1,Jan,Central,Furniture,Direct,CUST-3734,189141.17,12,2269694.04,1410116.63,859577.41,37.87
TXN-10596,2021-01-15,2021,Q1,1,Jan,North,Electronics,In-Store,CUST-4097,112098.63,9,1008887.67,553479.48,455408.19,45.14
TXN-09802,2021-01-15,2021,Q1,1,Jan,South,Food,Partner,CUST-1147,744.79,3,2234.37,1013.8,1220.57,54.63
